time	signature_1	signature_2	signature_3	signature_4	signature_6	signature_7	signature_8	signature_9	signature_10	signature_11	signature_13	signature_14	signature_15	signature_16	signature_18	signature_19	signature_21	signature_23	signature_24	signature_28	signature_29	signature_30	CA_A.A	CA_A.C	CA_A.G	CA_A.T	CG_A.A	CG_A.C	CG_A.G	CG_A.T	CT_A.A	CT_A.C	CT_A.G	CT_A.T	TA_A.A	TA_A.C	TA_A.G	TA_A.T	TC_A.A	TC_A.C	TC_A.G	TC_A.T	TG_A.A	TG_A.C	TG_A.G	TG_A.T	CA_C.A	CA_C.C	CA_C.G	CA_C.T	CG_C.A	CG_C.C	CG_C.G	CG_C.T	CT_C.A	CT_C.C	CT_C.G	CT_C.T	TA_C.A	TA_C.C	TA_C.G	TA_C.T	TC_C.A	TC_C.C	TC_C.G	TC_C.T	TG_C.A	TG_C.C	TG_C.G	TG_C.T	CA_G.A	CA_G.C	CA_G.G	CA_G.T	CG_G.A	CG_G.C	CG_G.G	CG_G.T	CT_G.A	CT_G.C	CT_G.G	CT_G.T	TA_G.A	TA_G.C	TA_G.G	TA_G.T	TC_G.A	TC_G.C	TC_G.G	TC_G.T	TG_G.A	TG_G.C	TG_G.G	TG_G.T	CA_T.A	CA_T.C	CA_T.G	CA_T.T	CG_T.A	CG_T.C	CG_T.G	CG_T.T	CT_T.A	CT_T.C	CT_T.G	CT_T.T	TA_T.A	TA_T.C	TA_T.G	TA_T.T	TC_T.A	TC_T.C	TC_T.G	TC_T.T	TG_T.A	TG_T.C	TG_T.G	TG_T.T
1	0	0.2599145201445299	0	0.011657227178020292	0	0.06638841959580519	0	0	0.46507062072378785	0.012934351083122294	0.027069781781731268	0.024862418078960707	0	0	0.10832233221413312	0	0	0	0	0	0.012679195335135203	0.011101133864774113	0.007330712305462441	0.0030386206075563877	8.880902889629197e-4	0.007878018179639254	8.10080460392934e-4	6.162048579667981e-4	4.3233318089158103e-4	9.219080670927579e-4	0.004336807139572356	0.006797501162329219	0.009642626198245494	0.005831102533716127	5.717099401645387e-4	4.388838388804446e-4	9.372045705637902e-4	0.0013816325402394951	0.0024449296914607873	0.0030382600633925127	0.002251588681130328	0.0031302494906273433	1.2001264157345901e-4	0.002085080978788247	0.0012292027126723744	0.006717422145351082	0.012696845017779302	0.004100027077840913	0.0025415326022374253	0.015909498473976484	3.6350582032733386e-4	6.495243141008089e-4	7.772034105103094e-4	9.85835255594542e-4	0.012305930318613763	0.012700122081437884	0.010936705180530163	0.012286853854759576	2.665224311336411e-4	8.443115259169853e-4	0.0014001514987099276	0.0012637208754828738	5.397999671264113e-4	0.001572731673969759	0.0013859766197016087	0.0016968825572321617	0.0011252308638127091	0.0012511057600118212	0.002606175679226165	0.009132554679406255	0.016285870359133387	0.004624864081072768	0.0016685178742100253	0.014931899024374943	3.20100788736564e-4	4.112584018985558e-4	1.6133229978662777e-4	6.156983164405518e-4	0.004544146430375951	0.012155882536452405	0.017023524565982977	0.011673046209798888	3.997371133420967e-4	4.5711309316180616e-4	4.527857077471985e-4	8.500786866696866e-4	0.0034446704041400864	0.005531866663302705	0.003620765859292122	0.007498118300364657	2.0668928638940327e-4	0.0010129717601477948	0.0017575063475419362	0.0020294263652938425	0.030711803915181152	0.013098326563539032	0.0038896207638358074	0.1622042196906433	0.017523175880705576	0.002794793994867968	9.279223806411553e-4	0.02689005322979645	0.1253044836959863	0.05561399454498479	0.1206956791731497	0.08718569585657875	7.600464515080704e-4	9.598608279853944e-4	4.7570960746371783e-4	0.0021082647151014593	0.0018541426715235742	0.005751237685008226	0.0035907044593639493	0.005212544027966673	0.0024588232691761863	0.004794256478216604	0.0013650347578233492	0.029942805065776436
2	0	0.0627876035911953	0	0	0	0.05142314187475335	0.04341748963499229	0	0.16572221366853518	0	0.3370668923968146	0.0771112319865382	0	0	0.09302383138534122	0.03892348328967085	0	0	0	0.08904474168006073	0.04147937049209836	0	0.010039006571227452	0.005891340483498849	0.0011895944166075431	0.008844684042428948	0.002517858606892934	0.0010386666166630047	2.954608906806008e-4	0.0026036744905785923	0.00592543803964321	0.006002221676499179	0.011085495134150075	0.00614795036265622	0.0014620830681330113	0.0017480371110736245	0.0016390031008468686	0.0029301291085676666	0.0033320419197219583	0.002928225360977826	0.0032296501483213644	0.003792410754408021	9.726557013659215e-4	0.0024868681869449133	0.0016439512407972106	0.010698914375377643	0.013933591117371366	0.006118106011610761	0.0025926122627866286	0.019680129065006817	0.002260332827414817	0.0011173843427185544	7.304630246178598e-4	0.0031017736076139673	0.010305578956485702	0.011581812833681392	0.009313204563325305	0.013059964833665094	0.0011353850110837774	0.0034313591729139338	0.00245212956069959	0.003032794396517318	0.0025752987186722564	0.005804286741388809	0.004696104368337822	0.0021935758923338857	0.0013879932038626064	0.0038859378356335297	0.003298104468197885	0.01487322759250709	0.01700764675269559	0.0069013942547891324	0.0017822612616573523	0.017816013616929555	8.168722391677887e-4	5.69400527309005e-4	9.456573080971883e-5	0.0016016747080904688	0.00827484486410698	0.012196979678444235	0.016829865086658097	0.012752582642678497	8.534092246760023e-4	0.001078701514906074	8.975609507369971e-4	0.0017324866541020012	0.0030969534393434812	0.004326900164676236	0.0037207066976305877	0.005099089487078508	1.7934007316615746e-4	5.352521112792257e-4	0.002199705864116714	0.004536420614373731	0.03226992413007374	0.01565158698229763	0.0034735994230487947	0.07704452627901598	0.09725295953443672	0.022603334829711337	0.003477046688987022	0.11674711169332853	0.07597135251477243	0.03357925550643709	0.048852646640147046	0.03962686384607458	0.0015028654112026073	0.0025216363580395167	0.0012819311046903849	0.0041473567981250865	0.002829367164921797	0.005862424289362305	0.003368137670616721	0.004467751299134179	0.0020570695571035815	0.00493531995382844	0.0019648330632350353	0.03260395928555746
3	0	0.053636470900219245	0	0.031641659153302665	0	0.04835228785669277	0.03151239711198507	0	0.3857289129168722	0.019839825111980517	0.07587939904606261	0	0	0	0.23542249460188724	0	0	0	0.06450923451435718	0	0.0534773187866404	0	0.02015512106304866	0.009366468868709708	0.0035967160333438544	0.013074543291638827	0.0027058257930710978	0.0018304045649922345	7.535465997991586e-4	0.0022692649105487466	0.003492855294478075	0.006240329911327737	0.009791001528023058	0.006104795345825722	0.001510031834841556	0.001074478015660928	0.0025302699288777793	0.0024920736621461027	0.0036564682070663783	0.003119282164852887	0.0034149830110408834	0.004678281878196638	2.54992231924643e-4	0.0019740039793258615	0.0016741894701014	0.005558832664231336	0.031639589325204026	0.011674027028394842	0.0068900056468140895	0.02097803889163242	0.0020692214197871837	0.0025646739426343954	0.0016929609218318906	0.003040059975477245	0.009800719850611421	0.01136163987729052	0.011319550169824598	0.01040111955183707	0.0010240506293863793	0.0018653967694265902	0.0037294808800657003	0.00275161363226339	7.67850802524858e-4	0.00238453338564726	0.0021275608332966163	0.00213244054412139	0.0010063273689649916	0.001470076706960701	0.00323586479257706	0.008106978309422329	0.04053280229471912	0.017508425774197957	0.006952739319619502	0.028334540233981485	9.943760749436933e-4	0.001352718979496431	7.053959668971621e-4	0.0015216647179695183	0.004216072755644696	0.010938309354457106	0.015970399640787367	0.010366027783565832	0.0012391550789831065	0.001161910036867152	0.0011551680939422863	0.0017793244210423467	0.0035373746667571844	0.0055462556617874945	0.004176583004748966	0.007643806042763465	3.5306632150320673e-4	8.670782670958773e-4	0.0033704684379958546	0.002451052116089453	0.040114122114660936	0.02363854412380778	0.00691668873019444	0.15535169408129057	0.02463192724483706	0.00773452152886225	0.0013962099229037476	0.0303944741721074	0.045211032806834986	0.03426014695375519	0.0946832279526757	0.038470845930286074	0.0018702629095193046	0.0021792177491128466	0.0019213608472235136	0.00305950631630624	0.00237497734175245	0.005940880899194972	0.0032785265014993797	0.004920514425255467	0.002037449836578432	0.0044668445114530685	0.001483313554809111	0.02563645298967896
4	0	0.12049784951660931	0	0	0	0.1912701529790101	0	0	0.15319113361857545	0.1460313989174519	0.09494461683066271	0	0	0	0.054035226861931955	0.05221164145802901	0.034555046760820426	0.10545537724460836	0	0	0	0.047807555812300805	0.003667672635881989	0.0015714243804823872	3.0533601718485924e-4	0.0030911710043421714	9.710684762792453e-4	4.7158094375991476e-4	4.000137147175491e-4	0.0012747065800739889	0.011057492683593791	0.03328212633253412	0.008647962108577578	0.01762094629440247	0.0012090320897802805	0.001820788913413288	0.0012600193190668906	0.00192282122851052	0.0028113236766123617	0.0024443158830156106	0.002888920628845681	0.0028899198665933777	3.88636125176222e-4	9.189306913829573e-4	9.893949905097938e-4	0.0027686424728948175	0.006518491169036426	0.0027083125610122927	0.00151823138169143	0.005880482895842372	5.885368122925669e-4	5.996044892381283e-4	7.18732398889063e-4	0.0011013520733341741	0.033928636961549054	0.06957316568683325	0.01387306247645755	0.05334151310043613	6.675473997083711e-4	0.0013844337181833795	0.0012302255456630063	9.866760896692765e-4	0.001464130590311905	0.0014297286910496924	0.0015965146918603705	0.0024186183600413405	5.764893670327357e-4	9.505870673010199e-4	0.0016528850146095508	0.004016162794447096	0.007971532904296598	0.002259353681032707	6.307632397081187e-4	0.006259137092525871	6.543906638295673e-4	7.227569967782591e-4	1.1724258056011e-4	4.362985608182458e-4	0.015464113581205514	0.0451201236538942	0.010117799835409266	0.03129827358194121	4.8655898992631464e-4	8.700504700745878e-4	7.102794188810594e-4	0.0012187773697985558	0.006451604832452372	0.004822276772118582	0.00528335331001433	0.00866869188495514	2.40947488097483e-4	4.3104635105130736e-4	0.0015651430176782139	0.0012296563319591674	0.016560857593720203	0.00744003943214878	0.0019487808869542325	0.05765816150616197	0.031301979634479025	0.0069299698293244115	0.0013775531813018604	0.04047567742848102	0.09714252227948685	0.1044244298717848	0.061813896608307474	0.07295616358202778	0.0011988111323303732	0.0013391174137267754	8.014672404665531e-4	0.0021743814891421157	0.002647452465693968	0.00401693594899658	0.003041539178902557	0.003354830539207138	0.0014093710915718844	0.002162536277098522	0.001126741310102581	0.010268243075008199
5	0	0.36443124675303495	0	0.04635823647390773	0	0.06232780617683677	0.04055379870994464	0	0.12909062706915977	0	0.05072142625166789	0.06007285132951104	0	0	0.13228787914792733	0	0	0	0	0.04390844404216376	0.07024768404584607	0	0.0152309991205352	0.00881360104969147	0.002614038988253263	0.010115839211575753	0.002011944770879667	0.0011955158809025704	6.050318008212497e-4	0.0018768204860872514	0.006945884691995645	0.0061781170216054	0.010330950984555727	0.0060164847010536465	0.0013340938300663624	0.0013729549946252288	0.0022371315553665685	0.0026164561157480306	0.003415650342446333	0.002517124653115673	0.003301151863786535	0.003765953965307318	5.335466967743433e-4	0.0015880986521867478	0.001549621354369466	0.006160715352129984	0.01997433698582804	0.009343205555831324	0.003907434011649601	0.02091062259719675	0.0012912313295722479	0.001437091991378504	0.0011994187963905968	0.001961507761426189	0.014170347537878946	0.011111826500779368	0.010612625081807067	0.012477878430519857	0.0011973803964744532	0.002942113697566493	0.0038100371673820423	0.003231314958383398	0.001751167288959772	0.003821721186915202	0.0036366399622969336	0.002215420745951854	9.321375022272657e-4	0.002318915125366085	0.002798501031315127	0.008723675118764852	0.0257510754296083	0.010861615471497289	0.003696311028860086	0.02145827907610546	7.168222987575927e-4	8.042818258593724e-4	3.912271008295837e-4	0.00134189187672272	0.007642689228403502	0.008937807276902904	0.013276151896839014	0.008914161845150302	0.001176995058670149	0.0011835775849869802	0.0013925437518453722	0.0017497007992472921	0.0026057631965386375	0.003563483312252245	0.003174195851182193	0.004761401795720758	2.5275146074309386e-4	4.1559011529107245e-4	0.002388621233028353	0.0031415052912807297	0.026299693746252746	0.01673437862868879	0.004567410043397119	0.07027986354078809	0.02843285656327171	0.005051287304993604	0.0014493654044448869	0.04229314641044445	0.17094678352514103	0.05508514287211683	0.05508574443170928	0.09924389812839188	0.00164430551918903	0.0019437583413504322	0.0013991361392181494	0.0032811204536395025	0.002327969843747269	0.004553529264787623	0.002481630861725428	0.003519652750698168	0.0011871037690437077	0.003224717260788213	0.001499546596797651	0.019765235945652788
6	0.019295584271690373	0	0	0.013488380446638833	0	0	0.01948467727046523	0.013923130103231068	0.7347024850438979	0	0.046087523562673	0.019446193087924866	0	0	0.10493974397105081	0	0.012824778142340386	0	0	0	0.01580750410008759	0	0.008531456937942031	0.004209495979172834	0.0010858734507337453	0.011041048550211553	0.0012511704164245574	8.288950137013197e-4	3.423584984634875e-4	0.001181921373647081	0.002399882180836164	0.004022832734161037	0.015852235688880494	0.0055282746807217824	0.0010537110827075994	0.0011182164145722964	0.0011310248098900188	0.002296100826148254	0.004209527168995001	0.004833388124266143	0.003601465243735411	0.004939562776738965	6.375993347238886e-4	0.0032779312538956124	0.0016858606403507377	0.01063145517208184	0.014122568818758171	0.005051494986701566	0.0027680394103795163	0.02033014427291701	6.570607462444283e-4	7.337435593878171e-4	7.119937460352589e-4	0.0012392907082266174	0.0032970058668129894	0.0036810181523915988	0.013219274790458738	0.005270576355753572	5.191678929778728e-4	0.0010678660644500122	0.001785126794494945	0.0019006884515072279	0.0011479759219453157	0.0025070112109911364	0.002382718159201815	0.002771069267437782	0.00199490945679421	0.0017740783748517897	0.0037241254862673064	0.014693242748223444	0.01710471149088543	0.005857211850510602	0.0017590261755365184	0.017413895659637045	3.6628767643765244e-4	5.907750488645998e-4	1.5062652374626994e-4	9.205663499502094e-4	0.002624101340406756	0.012925465083678497	0.025848719829361978	0.013544302408033851	5.562120889701988e-4	7.496442149497545e-4	6.31257650836389e-4	0.001247106395164319	0.007436264551038982	0.00928896566595756	0.006376702803252572	0.011852431236974003	2.627792437287168e-4	0.0015409321676760428	0.002000567281738392	0.003073257918854437	0.03869059082095414	0.014942099532220362	0.004389211318900977	0.24338260467337336	0.013325593029136343	0.0040706872410797325	6.48403749012665e-4	0.016012730238805638	0.010519411964304469	0.018532450012528137	0.16104231236028732	0.03214488869673435	0.0013245066573455578	0.0013831594741949757	7.50990564042569e-4	0.003263804594338866	0.003493867798446904	0.008781260977558275	0.005730283119340171	0.008661893928988949	0.004462388125959026	0.007353152912485279	0.0020285627884906766	0.04790185516902207
7	0.05929534516309138	0.04044896844612182	0	0	0.03532466597036393	0	0.04299277181569127	0	0.32383315499071114	0	0.1913846139214338	0.06050042390264363	0	0.03760785478665844	0.15490985712962577	0	0	0	0	0	0.05370234387365879	0	0.014813427837193907	0.007819177170388448	0.0017489100538621047	0.011605876477054603	0.0023281698594044015	0.0013290444248345802	4.862421475424263e-4	0.0025500771217125636	0.007365326344457122	0.005914096227081515	0.024631555066485022	0.007006172322927574	0.0018473864784190317	0.0016761951877728098	0.002019761652014808	0.0033686064990936467	0.006800170779214332	0.004130519428015458	0.005533482439908515	0.006270189481965422	6.062109084670311e-4	0.0019911712894090977	0.0017016427003705517	0.005575358710192875	0.020919016498258745	0.008482833437549138	0.0042747085432190395	0.025044182073209	0.001744759249170967	0.0013026488500352984	0.0011379742262143746	0.0028222310564176927	0.006598636908501732	0.0053639957537648005	0.01837157248019222	0.006808939350655773	0.0010132048478790057	0.0021607590102886787	0.0025286872416357903	0.002726671738359615	0.001496460723600564	0.00323417225943438	0.0037078848091033193	0.003181971709755307	9.225706953979982e-4	0.0017095350984122778	0.002993228159496261	0.008166637562599905	0.02668585500206674	0.009569918010488098	0.0028095215465345964	0.023484088343956613	7.419788262315077e-4	8.728164518874456e-4	1.1521430028472512e-4	0.0016125442699739105	0.009586755334173221	0.014250630658591303	0.029590336733373097	0.012947337123901148	9.825523230122851e-4	0.00110004966745908	9.683830261588643e-4	0.0018646143748249928	0.005158462945379848	0.006101497992474914	0.005052635406232464	0.007711157221081668	2.6299301796571225e-4	9.939586258497898e-4	0.002465485064961481	0.0025648254068093993	0.03621492169702965	0.018191338220936548	0.004926948403539986	0.1308405889718993	0.055938657453641565	0.014003054649427468	0.002150644487887031	0.06766445565072193	0.04556521786188701	0.018231915685536997	0.08189987673729299	0.03250699172607006	0.002176507983791832	0.0019874389661184797	0.0011540944347514365	0.00320837709734967	0.00372192199134014	0.006048116944535333	0.004217556824767349	0.005393618094376956	0.0021776408572141384	0.0041294181951458744	0.0014717040578656102	0.022853328442031865
8	0.05054125051056286	0.05578092623559714	0	0	0	0.23271263703904524	0.037270570600249284	0	0.2530656094086755	0.10117687852653319	0	0.045442608015225504	0	0	0.12397125116509289	0.03490056031079962	0	0	0	0	0	0.06513770818821875	0.008901015991903592	0.004011986208047353	7.028596036853913e-4	0.008038290717168162	0.0010095644200879327	7.883582285539287e-4	7.020463837196995e-4	0.0014202628978688134	0.011675374431142782	0.023616233612752537	0.0194392772444718	0.014565223125678838	0.0018626223088209755	0.0014017398537493366	0.002119830931491266	0.0035820174752815423	0.003329446490292064	0.0032565406077737415	0.003445964720044097	0.0040158139711745445	6.821226180528878e-4	0.0015400526597168424	0.0017108444123854038	0.004725655713892316	0.014338155304910212	0.0054503727012378085	0.00274776055114459	0.0166707704567298	4.00278316505523e-4	9.416662777068146e-4	0.001160261408364685	0.0011804118814306684	0.03059780313944233	0.04892613963189677	0.01967991162158047	0.03750766853617733	0.0011042033016604152	0.0023413595617440054	0.0023025052801568125	0.002386069172566047	0.0010852132195793794	0.002265733035149868	0.0017421457578133681	0.0028995464845214813	9.77449218008041e-4	0.0016072428869704526	0.0028039669212021443	0.0065627088484108385	0.01851118958758787	0.004799362763682573	0.001380473575391663	0.01638386130127089	8.45727548293689e-4	9.135094524221796e-4	1.840695151857946e-4	5.607546479881051e-4	0.011678971565906837	0.028381918130786648	0.021388629481272365	0.021375058069288085	9.416830477666446e-4	9.13478772971558e-4	0.001152517409169837	0.002212989802664531	0.003105457349035076	0.004692037499840747	0.003890545222613895	0.008022370240393503	4.2441393476805534e-4	7.467387056075778e-4	0.002641991950578331	0.002199714555424979	0.020775678884073164	0.011092475268031133	0.0031631809993987537	0.09850920829680045	0.0026232450069804524	0.0016043725473799098	5.229444052295403e-4	0.0052051223176598545	0.06495371760230145	0.1037731343030228	0.08794511302232316	0.05872797518481851	0.0023288854843736507	0.002086294059385269	0.001271773788596707	0.0039009826596485974	0.002211830139997871	0.005159379535032611	0.003588601087123354	0.00425527520699223	0.0020849703439025993	0.0035358496993034283	0.001837992580722439	0.017272045304033867
9	0.017939734397772675	0.21242983717333774	0	0	0	0.047933625545890916	0	0	0.242570686753232	0.03750669431451125	0.3052251157708322	0.013410587830042313	0	0	0.08950410081202491	0	0	0	0.013813553568139984	0	0.019666063834216055	0	0.00693931013971816	0.0031970577661028622	9.77600000710743e-4	0.005699832881976835	0.0018738055772202563	8.771619962090779e-4	3.003194300668106e-4	0.001938048040239168	0.004330768434549919	0.0075717272864535235	0.009300782686578536	0.005690254131004767	7.951513914292535e-4	6.242223491619785e-4	8.317573777820023e-4	0.0013058679114073117	0.0020543720655283593	0.0019004909455959573	0.0017544466618136323	0.0023767038565611523	1.8808340003240615e-4	0.0012012384122221489	7.953636316790227e-4	0.003605142076982037	0.01152916926516382	0.0038002519370619946	0.0024438013600758704	0.010725963044164157	0.0019404095201138465	9.485378062524942e-4	6.837987467514876e-4	0.002701671773735469	0.010964245432611196	0.013357211034818326	0.009231850861664453	0.011074816693856862	2.659402556495889e-4	6.465297720899406e-4	9.544874491144754e-4	8.886517377433621e-4	4.2785097600903213e-4	0.0011652002657804256	0.0010244203338914295	0.0012097678414898392	5.95288202682547e-4	8.035468182881864e-4	0.0015995183432602309	0.0050677006257082834	0.0144673985251491	0.005494585037156207	0.001956145756999097	0.011737806082815527	5.91112159449316e-4	5.693871395928908e-4	1.5990551771557994e-4	0.0012518492716238191	0.0052244674487343995	0.011091792952019399	0.01273553282522714	0.009222184063702852	3.463743117020057e-4	4.2077033188122356e-4	2.78934335094107e-4	6.050830614669786e-4	0.002433003448492045	0.0034484573530437906	0.002427510530077474	0.00482503075536154	1.4779124576520084e-4	5.676495854471386e-4	0.0013810383212467367	0.0012626211612432666	0.03426265954487965	0.015021019399328	0.0036377174683817175	0.09592776938310331	0.09381169097355291	0.020446987500990332	0.0034449913024927107	0.11557657544247606	0.13407100242492878	0.04867080159933834	0.07189782899844128	0.07567741868876893	7.406995235414419e-4	9.341481568377043e-4	5.396859418880105e-4	0.0014000429846535295	0.0015518347463868091	0.0034389540741246033	0.0021191862197003962	0.0030627545857310583	0.0014232453990594013	0.0026871826539482157	7.692868450121924e-4	0.016059946371259237
10	0.002890079558777618	0.8220826798039216	0	0	3.0920088924467137e-4	0.013924175296111473	0	0	0.0016219587633643842	0.001669364588332346	0.15563376041725044	0	0	0	3.061335569461556e-4	0	0	0	0	0	3.8176070877278046e-4	0.0011808864172786608	6.951689965413719e-4	6.718881237738067e-4	1.023365980348518e-4	4.5364294276823433e-4	8.15748598149573e-4	3.760742304046945e-4	1.915877617014741e-4	0.001118194947999945	0.006560501576545758	0.0028253705185670593	0.003377128231925665	0.002979382508497572	2.2959808714471985e-4	2.832551282819033e-4	4.865510398720454e-4	3.646344001347467e-4	0.0012173957369553197	4.179279071463397e-4	5.851462314539099e-4	0.0013194819340527396	9.880428516756675e-5	5.337299367298e-5	2.5903430099363464e-4	2.52538861626752e-4	9.149559120261072e-4	4.135851182878362e-4	6.5229873221117e-5	6.496108439835417e-4	8.59173415870169e-4	3.813513774467981e-4	7.740242649972435e-5	0.0012608666129872823	0.014169999786211092	0.004843306030618669	0.004780393924827857	0.008793432713596915	1.8266279234034594e-4	4.5277807348280863e-4	2.6266420135604557e-4	5.084245014828949e-4	4.849686403010762e-4	3.6256908708644605e-4	3.5463190481469745e-4	5.50616265924514e-4	1.0626818906922773e-4	7.036970566824261e-5	2.3249881476703404e-4	1.9905208651461908e-4	4.2125180544189854e-4	2.964652932450148e-4	1.7503734110424322e-4	2.7343492338177043e-4	2.577126693199808e-4	1.5711644793298671e-4	4.818569415508519e-5	6.437883673419949e-4	0.005908928190682344	0.002672635035099982	0.0011800299412662375	0.003375829472606217	1.246058386751159e-4	2.8847072125286e-4	1.1609402505068501e-4	2.266071193844888e-4	2.2187601571141665e-4	2.891263896666621e-4	1.4576469959107986e-4	7.654997525366002e-4	8.595982389418269e-5	5.970276453633738e-5	1.308656329883144e-4	1.1011500884397968e-4	0.020075079343211386	0.008174081642874066	0.0017449208945079192	0.01370609487657371	0.07423913637856162	0.009983040814647907	0.002827621457405449	0.10639703946990207	0.36482803903545624	0.07420879191276572	0.04218073560136947	0.19386916491645637	1.7076082590989183e-4	1.6137545593517973e-4	1.15836269002272e-4	3.4019241338341914e-4	2.7268773846415454e-4	4.7886394007176387e-4	2.37662549933663e-4	5.80314266691216e-4	1.6670063383688463e-4	8.763648864379609e-5	2.042561561266161e-4	2.6328570065138417e-4
